trial,q_first_click,q_click_drivers,q_detail_info,q_detail_top,q_buy_first,q_notbuy_first,q_consider_more,q_second_click,q_buy_second,q_notbuy_second,q_third_click,q_buy_third,q_notbuy_third,q_fallback,q_fallback_blocker,q_reject_A,q_reject_B,q_reject_C,q_reject_D,q_reject_E,q_reject_F,q_page_browse,q_page_buy,q_factor_most,q_factor_second,q_importance_title,q_importance_image,q_importance_bullets,q_importance_aplus,q_importance_attr,q_importance_price,q_importance_reviews,q_importance_trust,q_listing_redline,q_material_pref,q_transparency_pref,q_badge_effect,q_switch_trigger,q_price_acceptance,q_purchase_intent
146,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|material_cert|zoom_images|size_specs,negative_reviews,not_buy,price_too_high|material|transparency|want_compare,yes_more,B,not_buy,price_suspicious|material|look|transparency,E,not_buy,transparency|material|few_reviews|look,A,price|look_compromise|timing,fallback_favorite|price_too_high,price_suspicious|material|look|transparency,price_suspicious|material|look|transparency,few_reviews|material|pack|transparency,few_reviews|transparency|look,few_reviews|size|material|transparency,page2,page1,price_value,reviews,4,5,4,2,3,5,5,4,low_rating|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,lower_price,2,4
147,A,main_image|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|material|want_compare,B,not_buy,price_suspicious|brand|material|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|material,price_suspicious|brand|material,few_reviews|brand|pack|material,few_reviews|brand|look|material,few_reviews|brand|size|material|look,page2,page1,reviews,material,4,4,3,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,3,4
148,A,main_image|color_pattern|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|material_cert|size_specs|zoom_images|price_deal,negative_reviews,add_cart,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|look|want_compare,C,not_buy,few_reviews|price_suspicious|want_compare,A,price,fallback_favorite|price_too_high,price_suspicious|look,few_reviews|price_suspicious,few_reviews|pack|material,look|few_reviews,few_reviews|size|look,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
149,A,main_image|review_count|material_word|magnets|star_rating|imagine_look,negative_reviews|reviews_photos|material_cert|bullets|size_specs|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare|transparency,yes_more,B,not_buy,price_suspicious|material|look|want_compare,E,not_buy,few_reviews|brand|material|rating|want_compare,A,price|look_compromise,fallback_favorite|price_too_high|transparency|look,price_suspicious|material|look,price_suspicious|material|brand|look,few_reviews|brand|pack|material,few_reviews|brand|material|rating,few_reviews|size|material|look,page2,page1,material,reviews,4,4,4,2,4,5,5,5,low_rating|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_value,3,4
150,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|right_size|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,E,not_buy,few_reviews|transparency|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|brand,price_suspicious|brand|few_reviews,few_reviews|material|pack,few_reviews|transparency|brand,few_reviews|size|brand,page2,page1,price_value,reviews,4,4,3,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,unlikely,better_rating,3,4
151,A,main_image|color_pattern|star_rating|review_count|material_word|right_size|imagine_look|magnets,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|price_deal|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|material|want_compare,B,not_buy,price_suspicious|brand|material|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|material,price_suspicious|brand|material,few_reviews|material|pack,look|transparency|brand,few_reviews|size|look,page2,page1,price_value,reviews,4,5,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
152,A,main_image|color_pattern|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|look|want_compare,C,not_buy,price_suspicious|brand|want_compare,A,price|reviews_trust|timing,fallback_favorite|price_too_high,price_suspicious|material|look|brand,price_suspicious|brand|material,few_reviews|material|pack|brand,few_reviews|look|brand,few_reviews|size|pack|brand,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets|mismatch_title,eva,semi,no_effect,better_rating,3,4
153,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|zoom_images,negative_reviews,add_cart,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|brand|missing_magnet|want_compare,B,not_buy,price_suspicious|material|brand|look|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|brand|look,price_suspicious|material|brand,few_reviews|material|pack|brand,look|rating|few_reviews|brand|transparency,few_reviews|size|material|brand|look,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
154,A,main_image|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|zoom_images,negative_reviews,not_buy,price_too_high|transparency|want_compare,yes_more,C,not_buy,price_suspicious|brand|few_reviews|material,B,not_buy,price_suspicious|material|look|want_compare,A,price|look_compromise|info_gap,fallback_favorite|price_too_high,price_suspicious|material|look,price_suspicious|brand|few_reviews,few_reviews|material|pack,look|transparency|few_reviews,few_reviews|size|transparency,page2,page1,reviews,material,4,5,4,2,4,3,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_rating,3,4
155,A,star_rating|review_count|material_word|main_image|magnets|title_keyword,reviews_photos|negative_reviews|bullets|material_cert|zoom_images|size_specs|qa|price_deal,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|look|want_compare,C,not_buy,price_suspicious|few_reviews|material|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|look,price_suspicious|few_reviews|material,few_reviews|pack|material,few_reviews|look|transparency,few_reviews|size|look,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
156,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|right_size,reviews_photos|negative_reviews|bullets|material_cert|size_specs|zoom_images|qa,negative_reviews,add_cart,price_too_high|want_compare,yes_more,B,not_buy,look|want_compare,C,not_buy,look|price_suspicious|want_compare,A,price|timing,fallback_favorite|price_too_high,look|price_suspicious,look|price_suspicious,few_reviews|pack|material,look|few_reviews|material,few_reviews|size|look,page2,page1,material,reviews,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
157,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,add_cart,price_suspicious|material|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|brand|info_incomplete,price_suspicious|material|brand|info_incomplete,few_reviews|material|pack,look|brand|few_reviews,few_reviews|size|transparency,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
158,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|price_deal|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|want_compare,B,not_buy,material|price_suspicious|want_compare,A,price|timing,fallback_favorite|price_too_high,material|price_suspicious|brand,price_suspicious|brand|material,few_reviews|material|pack,look|rating|few_reviews,few_reviews|size|material,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
159,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|look|want_compare,C,not_buy,price_suspicious|few_reviews|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|look,price_suspicious|few_reviews,few_reviews|material,look|few_reviews,few_reviews|size,page1,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,neutral,better_rating,3,3
160,A,main_image|color_pattern|review_count|star_rating|magnets|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,price_suspicious|few_reviews|material|want_compare,A,price|timing,price_too_high,price_suspicious|material|brand,price_suspicious|few_reviews|brand,few_reviews|material|pack,look|few_reviews|brand,few_reviews|size|brand,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,3,4
161,A,main_image|color_pattern|star_rating|review_count|magnets|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,add_cart,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|material|want_compare,E,not_buy,few_reviews|look|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|material|look,price_suspicious|brand|material|look,few_reviews|material|look|pack,few_reviews|look|brand,few_reviews|size|look|brand,page2,page1,reviews,material,4,4,4,2,4,4,5,5,low_rating|few_reviews|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
162,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,price_suspicious|brand|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|brand,price_suspicious|brand|few_reviews,few_reviews|material|pack,look|transparency|few_reviews,few_reviews|size|look,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
163,C,star_rating|review_count|price|color_pattern|magnets|material_word|right_size|imagine_look,negative_reviews|reviews_photos|bullets|material_cert|size_specs|zoom_images|qa,negative_reviews,not_buy,want_compare|material|review_concern,yes_more,A,not_buy,price_too_high|transparency|look,B,not_buy,price_suspicious|material|look,C,reviews_trust|material|timing,price_too_high|transparency|look,price_suspicious|material|look,fallback_favorite|price_suspicious|material,few_reviews|material|pack,look|few_reviews|transparency,few_reviews|size|transparency,page2,page1,reviews,price_value,4,5,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,4,4
164,A,main_image|color_pattern|star_rating|review_count|title_keyword|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,price_suspicious|material|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material,price_suspicious|material|few_reviews,few_reviews|material|pack,look|transparency|few_reviews,few_reviews|size|material,page2,page1,material,price_value,5,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets|mismatch_title,eva,semi,unlikely,better_function,3,3
165,A,main_image|review_count|star_rating|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|price_deal,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,brand|few_reviews|want_compare,B,not_buy,brand|price_suspicious|want_compare,A,price|timing,fallback_favorite|price_too_high,brand|price_suspicious,brand|few_reviews,few_reviews|material,look|brand|few_reviews,few_reviews|size|look,page2,page1,reviews,price_value,4,4,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
166,A,main_image|color_pattern|review_count|star_rating|material_word|magnets|imagine_look|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,price_suspicious|material|brand|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material,price_suspicious|material|brand,few_reviews|material|pack,look|material|few_reviews,few_reviews|size|material,page2,page1,material,price_value,4,5,4,2,4,4,5,5,low_rating|few_reviews|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_function,3,4
167,A,star_rating|review_count|material_word|magnets|main_image,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|size|want_compare,E,not_buy,few_reviews|brand|look|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|look,price_suspicious|brand|size,few_reviews|material|pack|brand,few_reviews|brand|look,few_reviews|size|transparency|brand,page2,page1,reviews,material,4,4,4,2,4,3,5,5,low_rating|few_reviews|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
168,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,add_cart,price_too_high|want_compare,yes_more,C,add_cart,want_compare|material,B,buy_now,no_concern,B,no_blocker,price_too_high,final_purchase,few_reviews|brand,few_reviews|material|pack,few_reviews|look,few_reviews|size|material,page2,page1,reviews,price_value,4,5,4,2,5,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,5,4
169,A,main_image|star_rating|review_count|material_word|magnets|imagine_look|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|want_compare,B,not_buy,price_suspicious|material|want_compare,A,price|reviews_trust,fallback_favorite|price_too_high,price_suspicious|material|brand,price_suspicious|brand,few_reviews|material|pack,look|few_reviews|brand,few_reviews|size|look,page2,page1,reviews,material,4,4,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,unlikely,better_rating,3,4
170,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,reviews_photos,add_cart,price_too_high|want_compare,yes_more,B,not_buy,look|price_suspicious|material,C,not_buy,look|few_reviews|price_suspicious,A,price|timing,fallback_favorite|price_too_high,look|price_suspicious|material,look|few_reviews|price_suspicious,few_reviews|pack|material,look|few_reviews|material,few_reviews|size|look,page2,page1,price_value,material,4,5,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,lower_price,3,3
171,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,not_buy,price_suspicious|material|look|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|look,price_suspicious|material,few_reviews|pack|material,look|few_reviews|transparency,few_reviews|size|look,page2,page1,material,price_value,4,5,4,2,4,4,5,5,low_rating|few_reviews|material_unclear|blur_image|no_size,eva,semi,unlikely,better_rating,3,3
172,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|material_cert|size_specs|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,material|look|want_compare,C,not_buy,brand|few_reviews|want_compare,A,price|timing,fallback_favorite|price_too_high,look|material,brand|few_reviews,few_reviews|material|pack,look|transparency,few_reviews|size|transparency,page2,page1,rating,reviews,4,5,4,2,4,4,5,5,low_rating|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
173,A,main_image|color_pattern|review_count|material_word|imagine_look|right_size,reviews_photos|negative_reviews|bullets|material_cert|size_specs|zoom_images|qa,material_cert,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|few_reviews|want_compare,B,not_buy,price_suspicious|brand|review_concern|want_compare,A,price|look_compromise,fallback_favorite|price_too_high|look,price_suspicious|brand|review_concern|look,price_suspicious|brand|few_reviews,few_reviews|material|pack|brand,brand|look|few_reviews,few_reviews|size|brand,page2,page1,material,reviews,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_function,2,2
174,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|material_cert|size_specs|zoom_images|qa,negative_reviews,not_buy,price_too_high|transparency|want_compare,yes_more,C,not_buy,price_suspicious|material|transparency|few_reviews,D,not_buy,few_reviews|material|review_concern|transparency,B,material|reviews_trust|timing,price_too_high|transparency,fallback_favorite|material,price_suspicious|material|transparency|few_reviews,few_reviews|material|review_concern|transparency,look|transparency|few_reviews,few_reviews|size|transparency|material,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_rating,4,4
175,A,main_image|color_pattern|star_rating|review_count|magnets|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|delivery_returns,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,look|material|want_compare,C,not_buy,price_suspicious|brand|few_reviews|want_compare,A,price|timing,fallback_favorite|price_too_high,look|material,price_suspicious|brand|few_reviews,few_reviews|material|pack,look|few_reviews|brand,few_reviews|size|material,page2,page1,reviews,material,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,3,4
176,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|right_size|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|price_deal|zoom_images,negative_reviews,add_cart,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|look|want_compare,C,not_buy,price_suspicious|material|look|brand|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|look,price_suspicious|material|look|brand,few_reviews|material|pack,look|few_reviews,few_reviews|size|transparency,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_rating,3,4
177,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,reviews_photos,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|look|want_compare,E,not_buy,few_reviews|transparency|want_compare,A,price|reviews_trust,fallback_favorite|price_too_high,price_suspicious|look|material,price_suspicious|look,few_reviews|material|pack,few_reviews|transparency,few_reviews|size|look,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_value,3,4
178,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|material_cert|size_specs|zoom_images|price_deal,reviews_photos,not_buy,price_too_high|want_compare,yes_more,B,not_buy,look|want_compare|material,C,add_cart,want_compare,A,price,fallback_favorite|price_too_high,look|material,final_purchase,few_reviews|material|pack,few_reviews|look,few_reviews|size,page2,page1,price_value,reviews,4,5,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,lower_price,4,4
179,A,star_rating|review_count|main_image|material_word|magnets|right_size|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,look|material|want_compare,C,not_buy,look|few_reviews|want_compare,A,price,fallback_favorite|price_too_high,look|material,look|few_reviews,few_reviews|material|pack,look|few_reviews|brand,few_reviews|size|material|brand,page2,page1,reviews,price_value,4,5,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_value,3,4
180,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,add_cart,price_too_high|want_compare,yes_more,C,add_cart,price_suspicious|brand|want_compare,E,not_buy,few_reviews|brand|material,A,price|look_compromise,fallback_favorite|price_too_high,price_suspicious|look|brand,price_suspicious|brand|material,few_reviews|material|pack,few_reviews|brand|material,few_reviews|size|look,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
181,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|material_cert|zoom_images|qa|size_specs,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,not_buy,price_suspicious|material|size|want_compare,A,price|reviews_trust,fallback_favorite|price_too_high,price_suspicious|material|size,price_suspicious|material|size,few_reviews|material|pack,few_reviews|look|transparency,few_reviews|size|transparency,page2,page1,material,reviews,4,5,4,2,4,4,5,5,low_rating|few_reviews|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
182,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|transparency|want_compare,B,not_buy,price_suspicious|material|transparency|want_compare,A,price|timing|look_compromise,fallback_favorite|price_too_high,price_suspicious|material|transparency,price_suspicious|brand|transparency,few_reviews|material|pack,look|few_reviews|transparency,few_reviews|size|transparency,page2,page1,price_value,reviews,4,5,4,2,4,5,5,4,low_rating|no_size|material_unclear|blur_image|no_bullets|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
183,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|zoom_images|price_deal,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,not_buy,price_suspicious|material|brand,B,price|reviews_trust|material,price_too_high,price_suspicious|material,price_suspicious|material,few_reviews|material|pack,look|few_reviews|brand,few_reviews|size|transparency,page2,page2,price_value,reviews,4,5,4,3,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_value,4,4
184,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|price_deal|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|want_compare,E,not_buy,few_reviews|transparency|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|look,price_suspicious,few_reviews|material|pack,few_reviews|transparency,few_reviews|size|look,page2,page1,reviews,material,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,unlikely,better_rating,3,4
185,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,add_cart,want_compare,C,add_cart,want_compare,C,reviews_trust|material,price_too_high,few_reviews|brand,brand,few_reviews|material|pack,look|few_reviews|transparency,few_reviews|size|look,page2,page1,price_value,material,4,5,4,2,4,5,5,4,low_rating|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_value,4,4
186,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,E,not_buy,few_reviews|review_concern|want_compare,A,price|timing,price_too_high,price_suspicious|material,price_suspicious|material,few_reviews|material,few_reviews|look,few_reviews|size|transparency,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,unlikely,better_rating,3,4
187,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|material_cert|zoom_images|qa,reviews_photos,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|few_reviews|want_compare,C,not_buy,price_suspicious|few_reviews|brand|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|few_reviews,price_suspicious|few_reviews|brand,few_reviews|pack,look|few_reviews,few_reviews|size|look,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,4,4
188,A,main_image|color_pattern|star_rating|review_count|material_word|right_size|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|price_deal,reviews_photos,not_buy,price_too_high|want_compare,yes_more,B,not_buy,look|want_compare,C,not_buy,material|want_compare,B,look_compromise|timing,price_too_high,fallback_favorite,material|few_reviews,few_reviews|material,look|few_reviews,few_reviews|size|look,page2,page1,reviews,price_value,4,5,4,3,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,4,3
189,A,review_count|star_rating|material_word|magnets|title_keyword|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,add_cart,price_too_high|want_compare,yes_more,B,add_cart,price_suspicious|want_compare,C,not_buy,look|price_suspicious|want_compare,A,price,fallback_favorite|price_too_high,price_suspicious,look|price_suspicious,few_reviews|material,few_reviews|look,few_reviews|size,page1,page1,reviews,price_value,4,4,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,unlikely,better_rating,3,4
190,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|want_compare,B,not_buy,price_suspicious|brand|material|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|material,price_suspicious|brand,few_reviews|pack|material,look|few_reviews|brand,few_reviews|size|look,page2,page1,rating,reviews,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
